total_gold_earned_0, 39032
total_gold_spent_0, 36700
total_baron_kills_0, 0
total_dragon_kills_0, 0
total_inhibitor_kils_0, 0
total_kills_0, 11
total_deaths_0, 21
total_damage_dealt_to_champions_0, 40886
total_damage_dealt_to_objectives_0, 21465
total_damage_taken_0, 92576
average_vision_score_0, 18
total_wards_placed_0, 41
average_creep_score_0, 105
average_champion_experience_0, 9045
dmg_carry_0, 48
obj_carry_0, 48
team_comp_0_champ_1, Chogath
team_comp_0_champ_2, Trundle
team_comp_0_champ_3, Vladimir
team_comp_0_champ_4, Sivir
team_comp_0_champ_5, Lulu
total_gold_earned_1, 47927
total_gold_spent_1, 40535
total_baron_kills_1, 0
total_dragon_kills_1, 3
total_inhibitor_kils_1, 2
total_kills_1, 21
total_deaths_1, 11
total_damage_dealt_to_champions_1, 72141
total_damage_dealt_to_objectives_1, 66659
total_damage_taken_1, 63692
average_vision_score_1, 19
total_wards_placed_1, 40
average_creep_score_1, 106
average_champion_experience_1, 10702
dmg_carry_1, 21
obj_carry_1, 21
team_comp_1_champ_1, Jax
team_comp_1_champ_2, Diana
team_comp_1_champ_3, Pantheon
team_comp_1_champ_4, MissFortune
team_comp_1_champ_5, Sona
gameLengthMin, 0
dmg_to_champs_winner, 1
dmg_to_obj_winner, 1
vision_winner, 1
cs_winner, 1
champ_experience_winner, 1
wards_placed_winner, 0
gold_spender_winner, 1
final_match_winner, 1
